Months,Model
11.76,Original
4.73,Original
11.33,Original
18.33,Original
23.16,Original
10.58,Original
35.38,Original
20.7,Original
82.52,Original
20.6,Original
86.99,Original
77.6,Original
20.11,Original
53.06,Original
42.71,Original
24.57,Original
12.16,Original
90.51,Original
2.83,Original
14.13,Original
3.61,Original
10.71,Original
10.51,Original
18.3,Original
6.87,Original
14.72,Original
3.22,Original
15.08,Original
12.58,Original
6.54,Original
2.5,Original
19.84,Original
8.34,Original
9.56,Original
6.01,Original
19.71,Original
26.41,Original
28.68,Original
25.03,Original
5.49,Original
10.18,Original
20.83,Original
27.23,Original
89.65,Original
22.7,Original
12.61,Original
51.28,Original
8.8,Original
57.72,Original
16.95,Original
3.48,Original
27.0,Original
64.95,Original
11.66,Original
17.64,Original
23.16,Original
92.58,Original
99.9,Original
15.64,Original
48.92,Original
16.430742574257454,Original
16.52,Original
16.92,Original
17.71,Original
10.74,Original
14.45,Original
3.98,Original
13.86,Original
14.19,Original
15.93,Original
12.22,Original
9.89,Original
7.72,Original
10.61,Original
7.33,Original
16.430742574257454,Original
15.9,Original
25.69,Original
4.37,Original
16.430742574257454,Original
25.1,Original
10.58,Original
12.39,Original
14.49,Original
10.55,Original
47.08,Original
0.66,Original
11.33,Original
9.26,Original
16.2,Original
3.35,Original
16.79,Original
12.91,Original
15.31,Original
15.44,Original
20.3,Original
2.69,Original
16.430742574257454,Original
6.14,Original
20.37,Original
47.57,Original
47.57,Original
6.93,Original
3.98,Original
22.7,Original
33.64,Original
12.94,Original
16.430742574257454,Original
25.33,Original
14.29,Original
26.68,Original
24.21,Original
11.89,Original
0.2,Original
10.28,Original
2.2,Original
11.73,Original
2.33,Original
20.07,Original
17.77,Original
10.09,Original
8.61,Original
19.45,Original
46.55,Original
12.32,Original
12.32,Original
13.93,Original
10.45,Original
5.85,Original
3.19,Original
10.81,Original
9.43,Original
11.79,Original
3.42,Original
56.87,Original
10.64,Original
5.85,Original
11.4,Original
19.65,Original
3.29,Original
13.11,Original
13.11,Original
4.47,Original
3.22,Original
4.04,Original
90.93,Original
4.17,Original
88.07,Original
20.24,Original
3.65,Original
69.84,Original
73.78,Original
27.2,Original
44.55,Original
15.41,Original
10.41,Original
10.41,Original
38.93,Original
4.66,Original
7.39,Original
5.55,Original
0.39,Original
7.65,Original
8.41,Original
7.62,Original
7.39,Original
7.39,Original
11.83,Original
11.83,Original
0.53,Original
15.01,Original
24.15,Original
0.72,Original
19.81,Original
19.81,Original
13.63,Original
13.3,Original
20.4,Original
48.65,Original
10.81,Original
9.0,Original
0.26,Original
72.31,Original
4.7,Original
