index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	3218610	29012097	8056354	8089181	7914654	8333318	4	RN7SL729P,TNFRSF9,PARK7,ERRFI1,	1	ERRFI1,	[Not Available]	[Not Available]	[Not Available]	0	1p36.23	2.9271e-58
2	1	50996726	51569373	51415599	51441961	50897960	51524616	4	MIR4421,CDKN2C,FAF1,DMRTA2,	1	CDKN2C,	[Not Available]	[Not Available]	[Not Available]	0	1p32.3	2.4156e-15
3	1	213331310	225691420	224521510	224524832	212008445	227173477	105	RN7SKP165,snoU13|ENSG00000239094.1,snoU13|ENSG00000238545.1,MIR4742,snoU13|ENSG00000238856.1,MIR320B2,SNORA72|ENSG00000201898.1,RN7SKP49,CAPN8,snoU13|ENSG00000239054.1,RN7SL276P,HLX,RNU6ATAC35P,HDAC1P2,RN7SL464P,SNORA36B,snoU13|ENSG00000238576.1,snoU13|ENSG00000238798.1,U3|ENSG00000221673.1,RNA5SP76,SLC30A10,U3|ENSG00000212610.1,C1orf143,LINC00210,SPATA17,SNORD116|ENSG00000202498.1,RN7SL512P,SNORA16B,RN7SKP98,MIR3122,SNORA26|ENSG00000212187.1,PARP1,ATF3,CAPN2,CENPF,EPHX1,EPRS,ESRRG,H3F3A,ITPKB,KCNK2,LBR,MARK1,NVL,PPP2R5A,PROX1,PSEN2,PTPN14,SRP9,TGFB2,LEFTY2,TLR5,TP53BP2,USH2A,DEGS1,TAF1A,TMEM63A,BPNT1,LEFTY1,DUSP10,FBXO28,RAB3GAP2,INTS7,NSL1,RPS6KC1,FLVCR1,CNIH4,PYCR2,NENF,RRP15,KCTD3,DTL,MARC2,SUSD4,GPATCH2,TMEM206,BATF3,IARS2,ENAH,SMYD2,ADCK3,ACBD3,MARC1,AIDA,C1orf115,HHIPL2,VASH2,WDR26,MIXL1,DISP1,ANGEL2,LYPLAL1,DNAH14,TATDN3,BROX,CNIH3,C1orf227,FAM71A,SDE2,C1orf65,LIN9,MIA3,C1orf95,FAM177B,MIR215,	1	snoU13|ENSG00000238856.1,	[Not Available]	[Not Available]	[Not Available]	0	1q42.11	0.00056261
4	1	89949213	95058953	93296565	93312867	92760541	93909285	16	DR1,RN7SKP123,RN7SL692P,SNORA51|ENSG00000207022.1,SNORA66|ENSG00000207523.1,SNORA66|ENSG00000251795.1,SNORD21,RN7SL824P,RPAP2,GFI1,RPL5,EVI5,MTF2,TMED5,CCDC18,FAM69A,	5	SNORA51|ENSG00000207022.1,SNORA66|ENSG00000207523.1,SNORA66|ENSG00000251795.1,SNORD21,RPL5,	[Not Available]	[Not Available]	[Not Available]	0	1p22.1	6.3283e-06
5	1	245805648	246136553	245911962	247047609	245873836	247262158	9	ZNF670,SNORA25|ENSG00000252011.1,SNORD112|ENSG00000252495.1,AHCTF1,SCCPDH,ZNF695,TFB2M,SMYD3,CNST,	6	SNORA25|ENSG00000252011.1,SNORD112|ENSG00000252495.1,SCCPDH,TFB2M,SMYD3,CNST,	[Not Available]	[Not Available]	[Not Available]	0	1q44	0.0061479
6	1	3218610	29012097	3726401	3777232	3400790	6468628	25	LINC00337,RN7SL574P,MIR551A,MEGF6,DFFB,RPL22,TP73,KCNAB2,CEP104,ACOT7,ICMT,CHD5,WRAP73,AJAP1,LRRC47,TPRG1L,CCDC27,NPHP4,C1orf174,GPR153,SMIM1,RNF207,HES3,MIR4689,MIR4417,	1	CEP104,	[Not Available]	[Not Available]	[Not Available]	0	1p36.32	2.0772e-26
7	2	142049948	142050135	140981064	142891872	140782681	143627097	2	RN7SL283P,LRP1B,	1	LRP1B,	[Not Available]	[Not Available]	[Not Available]	0	2q22.1	0.0047146
8	2	233533237	234221687	233560495	233727071	233547531	233727071	2	KCNJ13,GIGYF2,	2	KCNJ13,GIGYF2,	[Not Available]	[Not Available]	[Not Available]	0	2q37.1	0.0054967
9	3	187116975	197538677	194853440	194867860	190376743	197017180	64	MIR4797,U4|ENSG00000272359.1,RN7SL738P,RN7SL434P,UBXN7,SDHAP1,RN7SL773P,LINC00969,RNU6ATAC24P,RN7SL36P,MIR3137,LINC00884,LINC00887,RN7SL215P,RN7SL447P,snoU13|ENSG00000238902.1,RN7SKP222,APOD,CPN2,DLG1,FGF12,GP5,HES1,MFI2,MUC4,OPA1,PAK2,PCYT1A,PPP1R2,TFRC,TNK2,NCBP2,ACAP2,PIGX,LSG1,HRASLS,ATP13A3,PIGZ,ATP13A4,CEP19,TMEM44,TM4SF19,ZDHHC19,LRRC15,FAM43A,MB21D2,XXYLT1,CCDC50,PYDC2,RNF168,SLC51A,FBXO45,MUC20,SENP5,TCTEX1D2,SMCO1,UTS2B,OSTN,ATP13A5,WDR53,NRROS,LINC00885,GMNC,MIR570,	2	RN7SL36P,MIR3137,	[Not Available]	[Not Available]	[Not Available]	0	3q29	3.2518e-06
10	3	114918294	131006658	115528203	117719035	112219753	131252281	186	SNORA58|ENSG00000249020.1,RN7SKP212,COL6A4P2,FAM86HP,ALG1L2,RN7SL752P,SNORA7B,RPL32P3,snoU13|ENSG00000238874.1,snoU13|ENSG00000252435.1,RN7SL698P,SNORA24|ENSG00000207130.1,MIR1280,RNA5SP139,NUP210P1,TXNRD3NB,RNA5SP138,U1|ENSG00000272020.1,FAM86JP,snoU13|ENSG00000238992.1,MIR5092,RNA5SP137,MIR544B,UMPS,MIR5002,SNORA5,PTPLB,SEC22A,snoU13|ENSG00000238480.1,SNORD112|ENSG00000252170.1,RN7SL172P,snoU13|ENSG00000238670.1,ARGFX,MIR5682,FSTL1,RN7SL397P,RN7SL762P,COX17,TIMMDC1,LINC00901,TUSC7,RN7SL582P,LINC00903,RN7SL815P,RN7SL767P,MIR4446,SNORD112|ENSG00000253076.1,SLC35A5,ADCY5,ADPRH,ATP6V1A,CASR,CD80,CD86,CSTA,DRD3,GAP43,GATA2,GOLGB1,GP9,GSK3B,GTF2E1,HCLS1,HGD,ITGB5,KPNA1,LSAMP,MCM2,MYLK,NDUFB4,PLXNA1,RHO,RPN1,SLC15A2,TRH,UPK1B,CNBP,ZNF80,ZNF148,RAB7A,RUVBL1,B4GALT4,SNX4,NR1I2,MBD4,H1FX,KALRN,STXBP5L,IQCB1,POLQ,ALDH1L1,PDIA5,MRPL3,MGLL,COPG1,TMCC1,PLXND1,C3orf27,C3orf17,ZBTB20,FAM162A,ATP2C1,ACAD9,ASTE1,KLF15,GTPBP8,SEC61A1,PIK3R4,PODXL2,PLA1A,FBXO40,SEMA5B,WDR5B,PARP14,GRAMD1C,ROPN1,SIDT1,SLC41A3,TMEM39A,IFT122,WDR52,EAF2,MUC13,C3orf37,POGLUT1,HEG1,KIAA1257,ARHGAP31,KIAA1407,EEFSEC,POPDC2,ATG3,CCDC14,ZXDC,HSPBAP1,QTRTD1,EFCC1,NEK11,NAA50,ABTB1,PARP9,CHCHD6,SLC12A8,DIRC2,MAATS1,EFCAB12,BOC,TXNRD3,OSBPL11,LRRC58,CCDC58,CD200R1,TPRA1,UROC1,NUDT16,COL6A6,H1FOO,DTX3L,CCDC80,ROPN1B,C3orf22,SPICE1,NUDT16P,IGSF11,C3orf30,PARP15,DNAJB8,GPR156,CHST13,KBTBD12,ALG1L,TIGIT,KIAA2018,ZDHHC23,COL6A5,RABL3,C3orf56,ILDR1,RAB43,CD200R1L,CCDC37,MIR568,MIR548I1,ISY1,MIR4796,MIR4447,	7	LINC00901,TUSC7,RN7SL582P,LINC00903,RN7SL815P,LSAMP,MIR4447,	[Not Available]	[Not Available]	[Not Available]	0	3q13.31	0.00094652
11	3	52822219	52823126	52811371	52826547	41907968	56590967	276	RNA5SP133,RN7SKP45,MIR3938,ESRG,CHDH,SNORD63|ENSG00000251987.1,SNORA26|ENSG00000212608.1,SNORD38|ENSG00000207109.1,RN7SL821P,snoU13|ENSG00000238565.1,MUSTN1,SNORD69,SNORD19|ENSG00000222345.1,SNORD19B|ENSG00000238862.1,SNORD19|ENSG00000212493.1,SNORD19B|ENSG00000252787.1,RNU6ATAC16P,SMIM4,MIRLET7G,TLR9,LINC00696,ACY1,RN7SL504P,IQCF6,RNA5SP132,RNU6ATAC29P,VPRBP,RNA5SP131,SEMA3B,SLC38A3,GNAT1,MIR566,RN7SL217P,MIR5193,RNA5SP130,C3orf62,RN7SL182P,NDUFAF3,MIR4793,TMEM89,MIR711,RN7SL321P,MIR2115,RN7SL664P,MIR1226,CSPG5,RN7SL870P,snoU13|ENSG00000238350.1,snoU13|ENSG00000239128.1,snoU13|ENSG00000251938.1,PRSS44,PRSS45,SNORD77|ENSG00000251967.1,LUZPP1,RTP3,RN7SL145P,LIMD1,U3|ENSG00000202268.1,ZDHHC3,MIR564,ZNF660,ZNF852,LINC00694,ABHD5,RN7SL517P,HIGD1A,RN7SL567P,ZBTB47,U8|ENSG00000212145.2,ALAS1,AMT,APEH,RHOA,CACNA1D,SLC25A20,CAMP,CCK,CDC25A,CISH,CCR1,CCR3,CCR5,ACKR2,COL7A1,CYP8B1,DAG1,DOCK3,DUSP7,CELSR3,GNAI2,XCR1,GPX1,GRM2,HYAL1,IMPDH2,ITIH1,ITIH3,ITIH4,LAMB2,LTF,MAP4,MST1,MST1R,MYL3,NKTR,PFKFB4,PLXNB1,PRKAR2A,PRKCD,PTH1R,QARS,RPL29,SEMA3F,SMARCC1,NEK4,TCTA,TDGF1,TGM4,TKT,CLEC3B,TNNC1,UBA7,USP4,UQCRC1,VIPR1,WNT5A,ZNF35,IFRD2,MAPKAPK3,MANF,BAP1,HYAL3,HYAL2,BSN,ACKR5,SEC22C,RRP9,CACNA2D2,IP6K1,PARP3,ZNF197,RBM6,RBM5,NME6,TRAIP,ARIH2,NPRL2,CXCR6,CCR9,USP19,CYB561D2,TMEM115,WDR6,RASSF1,NISCH,TREX1,TUSC2,TWF2,TRAK1,DHX30,SACM1L,SCAP,EXOSC7,RAD54L2,STAB1,NBEAL2,KLHL18,LARS2,NAT6,ABHD14A,POC1A,TMEM158,PTPN23,DNAH1,ERC2,GNL3,SPCS1,SETD2,PRSS50,RBM15B,GMPPB,C3orf18,SS18L2,SHISA5,ZMYND10,TEX264,TMA7,ZNF589,HEMK1,IP6K2,SFMBT1,NCKIPSD,PHF7,TLR9,LZTFL1,P4HTM,SLC6A20,ELP6,SNRK,QRICH1,ANO10,DALRD3,PBRM1,IL17RB,CACNA2D3,DCP1A,GLT8D1,ZKSCAN7,SEMA3G,KIF15,PCBP4,LRTM1,KIAA1143,HHATL,SELK,RNF123,KIF9,CDCP1,CCDC71,NT5DC2,SLC26A6,CAMKV,LRRC2,FYCO1,CCDC51,WDR82,ATRIP,NICN1,MON1A,ABHD14B,GTDC2,UCN2,ZNF502,RFT1,ACTR8,ZNF501,GPR62,LYZL4,KLHL40,TMEM42,IQCF1,GLYCTK,PPM1M,LSMEM2,CCDC12,CCDC13,KLHDC8B,ALS2CL,TMIE,FBXW12,TCAIM,CCDC36,PRSS42,ZNF445,TOPAZ1,TMEM110,AMIGO3,ZNF662,CDHR4,FAM212A,IQCF2,IQCF5,IQCF3,MIR135A1,MIR191,MIR425,SPINK8,ARIH2OS,C3orf84,FAM198A,CCR2,PRSS46,MIR4271,KRBOX1,MIR4787,MIR4443,	1	ITIH1,	[Not Available]	[Not Available]	[Not Available]	0	3p21.1	0.056565
12	4	166085126	188762240	181525131	182082374	179703433	182755059	4	RN7SKP13,LINC00290,SNORD65|ENSG00000212191.1,RNA5SP173,	1	LINC00290,	[Not Available]	[Not Available]	[Not Available]	0	4q34.3	1.3829e-09
13	4	1227469	1228679	1203265	1243877	1202860	1282746	1	CTBP1,	1	CTBP1,	[Not Available]	[Not Available]	[Not Available]	0	4p16.3	0.12932
14	5	162388952	167256775	165033001	165037408	161582777	167457607	6	SNORA40|ENSG00000253065.1,RN7SKP60,NUDCD2,CCNG1,HMMR,MAT2B,	1	RN7SKP60,	[Not Available]	[Not Available]	[Not Available]	0	5q34	0.00031494
15	6	109503686	170903919	163833610	164000119	163736814	164261076	3	RN7SL366P,CAHM,QKI,	2	CAHM,QKI,	[Not Available]	[Not Available]	[Not Available]	0	6q26	4.6566e-34
16	6	109503686	170903919	116575172	116762934	109485653	147826913	222	STXBP5,RNA5SP222,FBXO30,STX11,PEX3,RNA5SP221,ADAT2,VTA1,GJE1,RN7SKP106,RNA5SP220,MIR3145,HEBP2,SNORD112|ENSG00000252476.1,SNORA27|ENSG00000201807.1,RNA5SP219,7SK|ENSG00000271765.1,COX5BP2,LINC00271,RNA5SP218,snoU13|ENSG00000238631.1,RN7SL408P,SLC2A12,TBPL1,LINC00326,SNORA33|ENSG00000200534.1,SNORD100,SNORD101,RPS12,TAAR3,STX7,RN7SKP245,snoU13|ENSG00000238938.1,KIAA0408,SOGA3,RNA5SP217,RSPO3,PRELID1P1,RNA5SP216,RN7SKP56,CLVS2,RN7SL564P,SIGLECP3,RNA5SP215,MIR548B,RN7SKP51,RN7SKP18,RNA5SP214,FAM26E,TSPYL1,NT5DC1,FRK,RNA5SP213,snoU13|ENSG00000238563.1,U3|ENSG00000253091.1,snoU13|ENSG00000239095.1,snoU13|ENSG00000239015.1,C6orf3,KIAA1919,RPF2,snoU13|ENSG00000238775.1,SNORA40|ENSG00000212587.1,RN7SL617P,snoU13|ENSG00000238474.1,CCDC162P,C6orf183,AMD1,ARG1,COL10A1,CTGF,EPB41L2,EYA4,FABP7,FUCA2,FYN,GJA1,GPR6,GRM1,HDAC2,HIVEP2,HSF2,IFNGR1,KPNA5,LAMA2,LAMA4,MARCKS,MAN1A1,MAP3K5,MYB,NMBR,ENPP1,ENPP3,PEX7,PLAGL1,PLN,PKIB,PTPRK,REV3L,ROS1,SGK1,SMPD2,TCF21,TNFAIP3,TPD52L1,UTRN,EPM2A,DDO,CD164,WISP3,VNN2,VNN1,WASF1,TAAR5,MAP7,TAAR2,MED23,AKAP7,PHACTR2,BCLAF1,ZBTB24,FIG4,TRDN,CITED2,TRAF3IP2,HBS1L,SMPDL3A,RAB32,CDK19,TSPYL4,HEY2,ASF1A,CCDC28A,MOXD1,PDE7B,DSE,HDDC2,TUBE1,CDC40,RWDD1,AIG1,HECA,IL20RA,AHI1,VNN3,ECHDC1,GOPC,GPR126,KIAA1244,NHSL1,SERINC1,ABRACL,PBOV1,TRMT11,PERP,ALDH8A1,MICAL1,OR2A4,FAM184A,ADGB,RNF146,SF3B5,TAAR8,L3MBTL3,LTV1,REPS1,SLC22A16,ARHGAP18,GTF3C6,MTFR2,TMEM200A,NUS1,IL22RA2,SLC18B1,SLC16A10,TAAR9,TAAR1,NCOA7,HINT3,ZC2HC1B,SAMD3,RNF217,NKAIN2,OLIG3,TXLNB,AK9,FAM26D,ZUFSP,FAM162B,TBC1D32,HS3ST5,GPRC6A,RFX6,SLC35F1,VGLL2,TMEM244,MCM9,SHPRH,PPIL6,DCBLD1,TAAR6,SLC35D3,RSPH4A,ECT2L,C6orf58,CENPW,SOGA3,CEP85L,THEMIS,FAM26F,RFPL4B,FAM229B,CTAGE9,MIR548A2,MIR588,METTL24,TRAPPC3L,MIR3144,MIR3668,SMLR1,MIR4465,MIR548AJ1,MIR548H5,	2	TSPYL1,DSE,	[Not Available]	[Not Available]	[Not Available]	0	6q22.1	1.056e-05
17	8	3520871	3544536	2792739	4852925	3548234	4251019	2	RN7SL872P,RNA5SP251,	3	RN7SL872P,RNA5SP251,CSMD1,	[Not Available]	[Not Available]	[Not Available]	0	8p23.2	6.8443e-06
