index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	202705077	205599341	204466860	204472279	204444462	204529718	2	MDM4,PIK3C2B,	1	PIK3C2B,	[Not Available]	[Not Available]	[Not Available]	1	1q32.1	2.2156e-76
2	1	13724101	15226055	14127643	14355202	13862750	14377914	4	SCARNA11|ENSG00000253085.1,RNA5SP41,PRDM2,PDPN,	1	PRDM2,	[Not Available]	[Not Available]	[Not Available]	1	1p36.21	1.4051e-06
3	1	242409100	245959729	244322387	244446439	243044281	244857849	10	RN7SL148P,MIR4677,ADSS,CEP170,AKT3,ZBTB18,SDCCAG8,DESI2,C1orf100,C1orf101,	0	[RN7SL148P]	[Not Available]	[Not Available]	[Not Available]	1	1q44	2.7008e-07
4	2	13909719	17147270	16060359	16162461	16015937	16440607	5	SNORA40|ENSG00000251704.1,RN7SL104P,MYCNOS,snoU13|ENSG00000238371.1,MYCN,	3	RN7SL104P,MYCNOS,MYCN,	[Not Available]	[Not Available]	[Not Available]	1	2p24.3	1.4577e-07
5	3	172594977	197538677	181269988	181290583	181259839	181495612	1	SOX2,	0	[SOX2]	[Not Available]	[Not Available]	[Not Available]	1	3q26.33	9.2758e-21
6	4	52698757	59532245	55141293	55157134	55139160	55158396	2	PDGFRA,FIP1L1,	2	PDGFRA,FIP1L1,	[Not Available]	[Not Available]	[Not Available]	1	4q12	2.0195e-106
7	4	1738252	1817844	1797952	1798473	1778801	1804276	2	FGFR3,LETM1,	1	FGFR3,	[Not Available]	[Not Available]	[Not Available]	1	4p16.3	0.00036786
8	7	50363818	63138103	54966353	54971806	54964394	54972561	0	[SNORA73|ENSG00000252054.1]	0	[SNORA73|ENSG00000252054.1]	[Not Available]	[Not Available]	[Not Available]	1	7p11.2	0
9	7	116295707	116711356	116365108	116365108	116318100	116482392	2	CAPZA2,MET,	1	MET,	[Not Available]	[Not Available]	[Not Available]	1	7q31.2	4.6872e-08
10	7	91688834	94723041	92240982	92425379	92180378	92529900	2	CDK6,FAM133B,	1	CDK6,	[Not Available]	[Not Available]	[Not Available]	1	7q21.2	7.3248e-08
