rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
1	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	668244	33	32	27	0	0	3	4	7	19	0	<1.00e-15	0.00588	4.00e-06	0.119	5.40e-06	<0.000	<0.000
2	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	337830	89	86	72	0	5	20	10	11	43	0	<1.00e-15	1.87e-09	0.00447	0.398	0.0147	<5.55e-16	<3.02e-12
3	TP53	tumor protein p53	358092	97	80	60	0	29	15	11	23	19	0	<1.00e-15	8.12e-13	0.000	0.000	0.000	<1.00e-15	<3.02e-12
4	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	1131442	92	74	44	7	10	43	2	32	5	0	4.55e-15	1.12e-08	0.000	0.000	0.000	<1.00e-15	<3.02e-12
5	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	361231	14	14	2	0	13	0	0	1	0	0	2.01e-14	0.00761	0.000	0.831	0.000	<1.00e-15	<3.02e-12
6	BRAF	v-raf murine sarcoma viral oncogene homolog B1	631073	6	6	2	1	0	1	0	5	0	0	0.000183	0.616	0.000	0.0795	0.000	<1.00e-15	<3.02e-12
7	RB1	retinoblastoma 1 (including osteosarcoma)	752003	24	24	22	1	0	0	0	0	23	1	1.44e-15	0.0969	0.0569	0.0498	0.0313	1.78e-15	4.53e-12
8	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	924699	33	30	28	0	5	7	7	6	8	0	4.44e-15	0.000331	0.0123	0.114	0.0119	2.00e-15	4.53e-12
9	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	2457594	30	29	30	1	0	2	1	1	21	5	7.77e-15	0.0109	0.165	0.946	0.256	6.94e-14	1.40e-10
10	SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	2111845	26	24	26	0	11	2	1	9	3	0	2.89e-14	0.00435	0.355	0.259	0.397	3.79e-13	6.87e-10
11	GABRA6	gamma-aminobutyric acid (GABA) A receptor, alpha 6	395438	11	11	10	1	4	1	1	4	1	0	9.16e-12	0.106	0.739	0.377	0.706	1.73e-10	2.86e-07
12	KEL	Kell blood group, metallo-endopeptidase	639794	15	15	12	2	8	0	0	3	4	0	6.66e-11	0.186	0.446	0.925	0.618	1.03e-09	1.55e-06
13	CDH18	cadherin 18, type 2	682827	11	11	10	0	3	3	0	4	1	0	5.88e-09	0.0482	0.0726	0.712	0.141	1.81e-08	2.53e-05
14	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	654951	11	11	11	1	3	0	2	4	2	0	3.30e-09	0.222	0.438	0.546	0.611	4.24e-08	5.49e-05
15	RPL5	ribosomal protein L5	261806	7	7	7	0	0	1	1	0	5	0	1.59e-08	0.281	0.438	0.0725	0.188	6.17e-08	7.45e-05
16	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	464692	8	8	6	0	2	0	0	2	4	0	1.86e-07	0.104	0.0259	0.0320	0.0224	8.46e-08	9.59e-05
